"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Oct 26 14:57:40 UTC 2022","Wed Oct 26 14:57:40 UTC 2022","0","","Testing of Telnyx main page using Webdriver.IO","","Testing of Telnyx main page using Webdriver.IO","8. Should check if Customer logo of American Red Cross is displayed","8. Should check if Customer logo of American Red Cross is displayed",""
"skipped","Wed Oct 26 14:57:40 UTC 2022","Wed Oct 26 14:57:40 UTC 2022","0","","Testing of Telnyx main page using Webdriver.IO","","Testing of Telnyx main page using Webdriver.IO","4. Should click on ""Sign Up"" and transfer to sign up page","4. Should click on ""Sign Up"" and transfer to sign up page",""
"skipped","Wed Oct 26 14:57:40 UTC 2022","Wed Oct 26 14:57:40 UTC 2022","0","","Testing of Telnyx main page using Webdriver.IO","","Testing of Telnyx main page using Webdriver.IO","3. Should click on ""Log in"" and transfer to log in page","3. Should click on ""Log in"" and transfer to log in page",""
"skipped","Wed Oct 26 14:57:40 UTC 2022","Wed Oct 26 14:57:40 UTC 2022","0","","Testing of Telnyx main page using Webdriver.IO","","Testing of Telnyx main page using Webdriver.IO","12. Should click on ""Messaging API"" button and transfer to correct page","12. Should click on ""Messaging API"" button and transfer to correct page",""
"skipped","Wed Oct 26 14:57:40 UTC 2022","Wed Oct 26 14:57:40 UTC 2022","0","","Testing of Telnyx main page using Webdriver.IO","","Testing of Telnyx main page using Webdriver.IO","6. Should check if Customer logo of Philips is displayed","6. Should check if Customer logo of Philips is displayed",""
"skipped","Wed Oct 26 14:57:40 UTC 2022","Wed Oct 26 14:57:40 UTC 2022","0","","Testing of Telnyx main page using Webdriver.IO","","Testing of Telnyx main page using Webdriver.IO","19. Should check if Momentum Leader award is displayed","19. Should check if Momentum Leader award is displayed",""
"skipped","Wed Oct 26 14:57:40 UTC 2022","Wed Oct 26 14:57:40 UTC 2022","0","","Testing of Telnyx main page using Webdriver.IO","","Testing of Telnyx main page using Webdriver.IO","9. Should check if Customer logo of Talkdesk is displayed","9. Should check if Customer logo of Talkdesk is displayed",""
"skipped","Wed Oct 26 14:57:40 UTC 2022","Wed Oct 26 14:57:40 UTC 2022","0","","Testing of Telnyx main page using Webdriver.IO","","Testing of Telnyx main page using Webdriver.IO","5. Should check if Customer logo of Cisco is displayed","5. Should check if Customer logo of Cisco is displayed",""
"skipped","Wed Oct 26 14:57:40 UTC 2022","Wed Oct 26 14:57:40 UTC 2022","0","","Testing of Telnyx main page using Webdriver.IO","","Testing of Telnyx main page using Webdriver.IO","16. Should check if Best Result award is displayed","16. Should check if Best Result award is displayed",""
"passed","Wed Oct 26 14:57:40 UTC 2022","Wed Oct 26 14:57:42 UTC 2022","2302","","Testing of Telnyx main page using Webdriver.IO","","Testing of Telnyx main page using Webdriver.IO","20. Should check if Users Most Likely To Recommend award is displayed","20. Should check if Users Most Likely To Recommend award is displayed",""
"skipped","Wed Oct 26 14:57:40 UTC 2022","Wed Oct 26 14:57:40 UTC 2022","0","","Testing of Telnyx main page using Webdriver.IO","","Testing of Telnyx main page using Webdriver.IO","2. Should click on ""Support Center"" and transfer to support page","2. Should click on ""Support Center"" and transfer to support page",""
"skipped","Wed Oct 26 14:57:40 UTC 2022","Wed Oct 26 14:57:40 UTC 2022","0","","Testing of Telnyx main page using Webdriver.IO","","Testing of Telnyx main page using Webdriver.IO","13. Should сlick on ""International Numbers"" button and transfer to correct page","13. Should сlick on ""International Numbers"" button and transfer to correct page",""
"skipped","Wed Oct 26 14:57:40 UTC 2022","Wed Oct 26 14:57:40 UTC 2022","0","","Testing of Telnyx main page using Webdriver.IO","","Testing of Telnyx main page using Webdriver.IO","11. Should click on ""Elastic SIP Trunking"" button and transfer to correct page","11. Should click on ""Elastic SIP Trunking"" button and transfer to correct page",""
"skipped","Wed Oct 26 14:57:40 UTC 2022","Wed Oct 26 14:57:40 UTC 2022","0","","Testing of Telnyx main page using Webdriver.IO","","Testing of Telnyx main page using Webdriver.IO","18. Should check if Leader award is displayed","18. Should check if Leader award is displayed",""
"skipped","Wed Oct 26 14:57:40 UTC 2022","Wed Oct 26 14:57:40 UTC 2022","0","","Testing of Telnyx main page using Webdriver.IO","","Testing of Telnyx main page using Webdriver.IO","7. Should check if Customer logo of HP is displayed","7. Should check if Customer logo of HP is displayed",""
"skipped","Wed Oct 26 14:57:40 UTC 2022","Wed Oct 26 14:57:40 UTC 2022","0","","Testing of Telnyx main page using Webdriver.IO","","Testing of Telnyx main page using Webdriver.IO","10. Should click on ""Voice API"" button and transfer to correct page","10. Should click on ""Voice API"" button and transfer to correct page",""
